,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
5914,9574,01:01:42.739,1,,,,,,,,,,,,,,,,,,,,
5950,9574,01:01:46.828,1,+5.309,+0.498,,,,,,,,,,,,,,,,,,
5951,9574,01:01:46.893,1,,,,,,,,,,,,,,,,,,,,
5987,9574,01:01:51.189,1,+5.315,+0.531,,,,,,,,,,,,,,,,,,
6021,9574,01:01:55.219,1,+5.453,+0.638,,,,,,,,,,,,,,,,,,
6053,9574,01:01:59.028,1,+5.467,+0.675,,,,,,,,,,,,,,,,,,
6054,9574,01:01:59.060,1,,,,,,,,,,,,,,,,,,,,
6092,9574,01:02:03.699,1,+5.544,+0.685,,,,,,,,,,,,,,,,,,
6093,9574,01:02:03.718,1,,,,,,,,,,,,,,,,,,,,
6131,9574,01:02:08.193,1,+5.670,+0.683,,,,,,,,,,,,,,,,,,
6132,9574,01:02:08.242,1,,,,,,,,,,,,,,,,,,,,
6166,9574,01:02:12.338,1,+5.787,+0.736,,,,,,,,,,,,,,,,,,
6172,9574,01:02:12.824,1,,,,,,,,,,,,,,,,,,,,
6173,9574,01:02:12.921,1,,,,,,,,,,,,,,,,,,,,
6179,9574,01:02:13.070,1,,,,,,,,,,,,,,,,,,,,
6229,9574,01:02:18.179,1,+5.799,+0.820,,,,,,,,,,,,,,,,,,
6230,9574,01:02:18.247,1,,,,,,,,,,,,,,,,,,,,
6254,9574,01:02:20.574,1,,,,,,,,,,,,,,,,,,,,
6255,9574,01:02:20.646,1,+5.771,+0.841,,,,,,,,,,,,,,,,,,
6289,9574,01:02:23.724,1,+5.717,+0.861,,,,,,,,,,,,,,,,,,
6324,9574,01:02:27.543,1,+5.626,+0.888,,,,,,,,,,,,,,,,,,
6364,9574,01:02:31.425,1,+5.533,+0.918,,,,,,,,,,,,,,,,,,
6365,9574,01:02:31.442,1,,,,,,,,,,,,,,,,,,,,
6410,9574,01:02:37.450,1,+5.731,+0.923,,,,,,,,,,,,,,,,,,
